"year","stack","NOX","NH3","SO2","PM25","VOC"
2008,"area",12358.01907147,3937.08415715452,681.160873656908,3554.52761612412,50881.067343625
2011,"area",11112.2200425934,3757.99988961355,451.255412888686,3494.23748110073,52385.363435558
2014,"area",9655.23733577419,3183.28704371481,289.273469684626,3196.94414838184,49952.9216142813
2008,"low",2035.18102556189,68.3089932721056,1708.79685453676,394.601081381833,1035.7650821391
2011,"low",1779.43495283746,74.5087903685349,1242.07002814422,337.086487102172,960.027551544527
2014,"low",1582.48827457978,73.8061333401345,966.308853119343,293.951308463587,952.441547632635
2008,"med",740.93530037787,9.18478954107311,1483.41706156656,86.981463336381,22.1474253309174
2011,"med",575.356900797176,8.71981490723863,938.528529717704,58.4529481562819,18.5678673935817
2014,"med",488.137925247429,7.94301373078879,716.118107437536,46.7034676526038,19.3491108943443
2008,"tall",2317.20672391144,15.88146886761,6225.95755414054,240.340023355832,25.8446661171003
2011,"tall",1443.74257988657,13.829469502045,3586.09358369099,146.685859750127,22.5225546803089
2014,"tall",1246.49304628969,9.26972180299813,2499.66754263563,137.573227154242,21.4721315178512
